Project ID,Catchy Title [for dataset],"Catchy Title [for use case, application]",Country / Region ,What this is about/Description,Access to the dataset [link],"Access to AI Model, Software, AI Application [link]",Sector /Sustainable Development Goal ,Maturity / Readiness for replication or scaling [INTERNAL],Type of Data,Point of contact & community support ,Data characteristics: how to use it & key characteristics ,"Model characteristics: How to use & key characteristics of the AI Model, Software, AI Application",How to use it: How can you concretely work with this and built on this? How much will this cost and which resources are available to help me? ,"Organizations involved - including logos, links and visual elements",Editor of this information:,Technical Domain,Expressive visualization / picture related to dataset / possible use / story-tellling,License,"Additional Resources (Paper, Publications, etc)",GIZ Funded (Yes/No),Info on fair sharing as as Digital Public Good ,Comments
don't change - for backend processing and pls leave it as first column,"The title should express clearly „what this is useful for, why it makes sense to replicate this” - not the action itself (not: „data collection” or “model training”, rather “Improving livelihoods in Ghana and Uganda: Drone-based Agricultural Dataset for Crop Yield Estimation of cashew, cocoa, and coffee”). 
•        Think about the primary goal or outcome of this AI application and how to put it in plain, attractive language (see key audiences)?
•        How does the title convey key information about the project's impact?
•        How can you succinctly describe what users can do with this AI application?
•        Can you subtly link the title to possible development outcomes (e.g., ""for climate mitigation"")?
","The title should express clearly „what this is this useful for, why it makes sense to replicate this” - not the action itself (not: „data collection” or “model training”, rather “Improving livelihoods in Ghana and Uganda: Drone-based Agricultural Dataset for Crop Yield Estimation of cashew, cocoa, and coffee”). 
•        Think about the primary goal or outcome of this AI application and how to put it in plain, attractive language (see key audiences)?
•        How does the title convey key information about the project's impact?
•        How can you succinctly describe what users can do with this AI application?
•        Can you subtly link the title to possible development outcomes (e.g., ""for climate mitigation"")?
","•        In which country/region/district will the use-case have its major impact?  Where did the activity take place? Which regions would fit the data collected?
•        Mention, if there are already plans for scaling to other areas or if this is likely to succeed.

This field can include different countries/regions. For example, if we collected language data to train a multi-model LLM that potentially spans over a distinct region/country. You might also put “worldwide” if this is globally applicable.
","Try to tell and convey the story in the first sentences. Be direct, concise and avoid the use of overly promotional language. People should immediately understand what this is about, if it is interesting for their application and therefore also what they can do with this. Focus on: 1) What is it?  2) Why was it created? 3) How/for what can it be used?
•        What specific problem does this AI  dataset / application address? What is the challenge that the AI system is intended to solve? 
•        What parts are now are all openly available as an open-source replication kit and digital public good? (How specifically can this foster local AI innovation for sustainable development?)
•        Goal of the AI dataset / AI system: What intended change/impact shall the AI system create? (If possible, add numbers to show the impact e.g. “this might help farmers to get up to 30 percent more revenue” or similar)
•        Who could be future primary beneficiaries or users of this use case? Who is mainly considered as direct beneficiary of the system? You might consider directly addressing people, e.g. “This can be used to empower you as a forest monitoring agency to do xyz”). Consider, how different stakeholders (e.g., businesses, NGOs, government agencies) might want to utilize this AI application/use case?
•        What are the key features or capabilities of this AI system?
•        How does this application contribute to broader development goals or social impact?
•        Optional: How specifically can this foster local AI innovation for sustainable development?
",Where can the dataset be accessed?  -->Provide direct links ,"Where can the AI model or necessary Software or the application be accessed? 
--> Provide links to code repositories, data processing steps,  APIs, or platforms
","• Which SDGs does this AI application primarily serve? e.g., End hunger, achieve food security, sustainable agriculture (SDG 2); climate action (SDG 13), clean energy (SDG 7)  Sustainable agriculture and food security (SDG 2), reduced inequality through access to info in local languages/NLP  (SDG 10), gender equality (SDG 5), etc)?
Ideally, we could employ some sort of repeatedly used taxonomy to make the domain classification more standardized. You may take orientation from the Sustainable Development Goals (SDGs= (https://sdgs.un.org/goals ) for language.
","Please specify status/maturity, which can be additive (name multiple then). 
First status ""Dataset"": a training data set is available as open-source, thereby creating a foundational layer and market for many actors that want to build use cases / applications , Indicator 1.1),
Second status ""Model"": A machine learning model is available that builds on the dataset
Third Status ""Pilot"": an experiment or pilot has been implemented, (Indicator 2)
Fourth status ""Use-Case"": A concrete application with users has been implemented, often in a specific sector such as agriculture etc.
Fifth status ""Use-Case with Business Model"": A business model or financing model is available for a given usecase (e.g. after our training on finding business models for local Open-source AI (indicator 3)

[if dataset etc is not YET available, please insert projected status: ""end of this year we expect this status"" -]","Which data type(s) does the dataset contain?  Please chose from “Geospatial”, “Voice”, “Text”, “Tabular”,  “Images” or “other”.","Think about who to contact if someone would like to get the answer to the following two questions 
a.        How can I get in touch with someone for more information or support?
b.        “How can I get involved in a community to further build this as a joint resource or get community support?” 

2)        On contact: Be realistic and practical: who can we expect to be available and responsive mid- (long) term for inquiries. / Who are the primary organizations or individuals having implemented this project and willing to be contacted later on?List partners / contact. / Link directly to mail address or similar if possible.
3)        On community support: Please mandatorily also add a reference and link to at least an online support community / mailing-list / github community / social-media group that people can join to get involved
•        Inquire: Are there any community forums, mailing lists, Github or hugging-faces community pages / repositories or recurrent events related to this use case / dataset? If no such support community for a exist, please encourage the partner to open one such community and link to it.
","•        Are there any critical known limitations, imbalances, or biases in the dataset? / hat steps have been taken to ensure responsible and ethical use of AI in this project?
•        Who is responsible for maintaining and updating the dataset? (please also consider making this part of section Point of contact / Community)
•        Link to data-card.
•        What rights do people have using this data?  Provide direct link to license if applicable,  make clear, that this is for re-use and replication, but also link to the restrictions / what to give back to the community … / Under what license is the data published? ","-•        What does the model/application do? Very simple and straightforward explanation?
•        Are there any critical known limitations, imbalances, or biases in the model? / what steps have been taken to ensure responsible and ethical use of AI in this project (e.g. has gone through “ethical AI assessment”, or “should always go through ethical AI assessment before replication)?
•        If it is a model, briefly describe what input the model expect and what output it will generate. Keep it easy to understand and perhaps merge with description of the application already.
•        Only if critical for running it: What software or hardware requirements are needed to run the model?
•        Only if critical to know: Are there any usage restrictions or ethical considerations to be aware of?
-> Provide links to license if applicable, make clear, that this is for re-use and replication, but also link to the restrictions / what to give back to the community
-        Ask for crediting the source work always when building a new product such that new development are at least linked to the original ressources (and we can track impact over future uses better).","Here we want to outline what the reader can concretely do with this use-case/application more deeply:
The two most important things to lay out here are:
•        What are some specific use cases or applications for this AI system that can already be tackled now with the existing tools and resources – what can be done immediately with it?
•        How can researchers or developers extend or improve upon this work?
•        Are there any critical known limitations, imbalances, or biases that need to be taken into account when replicatin this - to ensure responsible and ethical use of AI in future uses (e.g. recommendation to always go through ethical AI assessment before replication)?
•        [As far as available]  How much will it cost someone to build an application based on this data/use case? Add cost estimates e.g. for adaptation, training compute, compute for running it per user etc – this can be rough estimates

Other considerations for answering:
•        What are the concrete opportunities for collaboration or further development?
•        What resources (e.g., documentation, tutorials) are available for those wanting to use or build upon this work?
•        Are there any success stories or case studies of this AI application in use?
o        This can also be added under Main Field 3.
•        How does this project align with or support other initiatives in the field?
If applicable, you may add a small paragraph on the following:
Sustainability and Future Plans
•        What are the plans for long-term maintenance and sustainability of this project?
•        How will the dataset and models be kept up-to-date and how can you as a reader be part of this?
•        Are there plans for expanding or scaling the project and how can you as a reader be part of this?","•        PLEASE SPECIFY ROLE OF ORGS - START BY: Powered by: Include links in brackest, send logos to Jonas Nothnagel - of the creating entity, implementing partners,  
•        Catalyzed by: Include institutions that facilitated action, this would always be FAIR Forward, but might also include others like Meridian or even consultancies that added other expertise, or DFKI etc. (for FAIR Forward, we will need “Text form” and Link in addition to Logo 
•        Financed by: Add BMZ and possibly other funders 
•        Links to Logos- Consider adding relevant visual elements that enhance understanding of the AI application (e.g., screenshots, diagrams). 
","-        Please add all names of persons who contributed to editing the info of the one-pager (this should be displayed in a way to make sure, that it is not “point of contact”, those should be the persons /e-mails as in “Header Field 4: Point of contact / Community”","- Which technical domain(s) does the dataset contain? - Please chose from “Computer Vision/Picture data”, “Natural language Processing” (NLP), “Earth Observation/Satellite& drone data” or “other”.","-        Please  link to one picture  & expressive visualization / picture related to dataset / possible use / story-telling
- if you can't link to is, please send it to jonas.nothnagel@giz.de
- if possible, the picture should be high-res (for use in a printable pdf or printable report), but web-resolution is fine if no high-res is available.",Please add concrete info on the specific license and possible things you need to add to a licence (also add link in brackets),,Tagged if from Lacuna,"   Adhere to fair contributing: “This is a global digital public good under open-source licenses as named under ""licenses"" - Please consider fair sharing and giving back to communities in an appropriate way.",
ui_1,Open Air Pollution Data for Patna and Gurugram,Combatting Air Pollution and GHG Emissions in India through hyperlocal AI-powered mapping,India,"Under this initiative, a novel approach is employed by leveraging citizen scientists and IoT-based low-cost sensors to collect hyperlocal air quality data. This data is used to identify pollution sources and risk zones, facilitating targeted actions by regulatory authorities.To showcase data outreach, the project features the VAYU Android-based application and the VAYU citizen portal digital stack, which support targeted interventions and customized solutions backed by AI/ML algorithms. These tools potentially develop new approaches in air pollution management while reducing public investment costs.",https://vayu.undp.org.in/,https://github.com/undpindia/VAYU_OpenAir; https://github.com/EconAIorg/vayu-gnn/tree/main; https://github.com/Alphawarrior21/VayuAssist; https://github.com/akbp24/ClearSky; https://github.com/sherwaldeepesh/vayu_airnode,SDG 13 (Climate Action),Dataset  > Model > Pilot > Use-Case,Geospatial/Remote Sensing,UNDP India (https://www.undp.org/india),"The data for this project is collected by static and dynamic sensor. Static sensors are placed at known hotspots for air pollution while dynamic sensors are moved by citizen scientist continously. 
•        2 Cities
•        100+ Senors
•        150+ Volunteers
•        1000+ Records Collected
•        ~10Million Data Points
","Sensors data is continously shared with specific pollutoin boards, and us ecase dvelopeed under project combined AI and ML to detect pollution sources and provide early alerts, enabling rapid response and policy action.",,"Powered by:  UNDP India
Catalyzed by: FAIR Forward - AI for All (https://www.bmz-digital.global/en/overview-of-initiatives/fair-forward/)
Financed by: BMZ (https://www.bmz-digital.global/en/digital-transformation-and-development-cooperation/)","Jonas Nothnagel, Arun Kumar Yadav",Computer Vision,,CC-BY,,Yes,,
ui_2,"Facilitating access to financial applications in informal settings in four Ghanaian dialects: Akuapem Twi, Ashante Twi, Fante and Ga.",,Ghana,"This speech dataset for the Ghanian languages Akan (Akuapem Twi, Asante Twi, Fante) and Ga includes 104,000 utterances (speech) across the four dialects/languages with approximately 200 speakers per dialect/language. This amounts to about 148 hours of speech in total. The dataset was developed to support the development of financial applications in native Ghanaian languages to allow illiterate and semi-literate people to fully benefit from digital financial services. Secondly, it aims to answer research questions related to domain-specific vs. general-purpose dataset development, dialects, as well as NLP system development in low resource settings.  Overall, a total of 83,829 audios were recorded from which the datasets were published and made publicly accessible.  ",https://github.com/Ashesi-Org/Financial-Inclusion-Speech-Dataset,,"SDG 10 (Reduced inequality through access to info in local languages/NLP), SDG 8 (Promote inclusive economic growth through financial inclusion)",Dataset,Voice,Dennis Asamoah Owusu (DOWUSU@ASHESI.EDU.GH),"The data is freely available for use based on the provided open source license and courtesy the funding from Lacuna Fund. We performed a stratified random sampling (5%) of the data for each language and reviewed it to get the following quality assessments.

0.1% of the Ga audios were of low quality
1.3% of the Fanti audios were of low qaulity.
1.6% of the Asanti Twi audios were of low quality.
2.8% of the Akuapem Twi audios were of low quality.
Low quality means that what the user recorded did not match the given prompt either because there was a truncation or the recording was totally different from the prompt.",,"The dataset might be used to devise more inclusive banking platforms that better understand users in  in four Ghanaian dialects: Akuapem Twi, Ashante Twi, Fante and Ga. It can thereby help to achive more financial inclusion.","Powered by:  Ashesi University, Nokwary Technologies
Catalyzed by: Lacuna-Fund / Meridian & FAIR Forward - AI for All
Financed by: BMZ","Elikplim Sabblah, Balthas Seibold ",NLP,,https://creativecommons.org/licenses/by/4.0/,,Yes,,
ui_3,"Enabling machine translation from Kiswahili into the indigenous Kenyan languages Kidaw'ida, Kalenjin, and Dholuo, preserving these languages & supporting crowd-sourced voice recognition via Mozilla Common Voice for these languages",,Kenya,"The dataset was created to enable translation from Kiswahili, which is the national language in Kenya, into three indigenous languages, namely, Kidaw'ida, Kalenjin, and Dholuo. All three languages are low resource, especially Kidaw'ida, which has only around 400,000 speakers and is at immediate risk of loss. By collecting the text and speech data, the project has taken a step towards preservation of these languages . The dataset consists of three parallel corpora: Kidaw'ida-Kiswahili; Kalenjin-Kiswahili; Dholuo-Kiswahili. On average, each corpus has thirty thousand sentence pairs. 

In addition, the dataset has helped to preserve, revitalise and elevate the languages Kidaw'ida, Kalenjin, and Dholuo by making them work on Mozillas Common Voice Platform. The text and speech datasets are thereby supporting crowd-sourced voice recognition, promoting linguistic diversity and empoweromg local communities by enabling Natural Language Processing applications tailored to their needs. Namely, the resulting voice recognition datasets can be used to build AI voice applications such as advisory systems in local languages for farmers, citizens etc that ""understand"" speech input (instead of written input). As of August 2025, 120 hours of speech data have been recorded on Common Voice in Dholuo (with 14692 sentences available), 92 hours have been recorded for Kalendjin (With 29900 sentences available) and 56 hours have been recorded for Kidaw'ida (with 11773 sentences available). To download the crowd-sourced speech datasets in Kidaw'ida, Kalenjin, and Dholuo, visit https://commonvoice.mozilla.org/en/datasets ",https://zenodo.org/records/13355021,,"Reduced inequality through access to info in local languages/NLP (SDG 10), Achieve Gender Equality (SGD 5), achieve food security, sustainable agriculture (SDG 2)",Dataset,"Voice, Text",Audrey Mbogho (ambogho@usiu.ac.ke),"The dataset consists of three parallel corpora: Kidaw'ida-Kiswahili; Kalenjin-Kiswahili; Dholuo-Kiswahili. On averate, each corpus has thirty thousand sentence pairs. This dataset is available on Zenodo and on GitHub where it will continue to be grown and its quality improved. The project had a total of 105 speakers who came from different parts of each region where the three languages are spoken. Thus, different regional accents were included in the speech data, making the dataset more representative. Furthermore, both male and female speakers were contributing to the voice data.",,"> The datasets can help to build translation services from Kiswahili into three indigenous languages, namely, Kidaw'ida, Kalenjin, and Dholuo. 
> The datasets can help to preserve these three low resource languages, promote linguistic diversity and empower local communities by enabling Natural Language Processing applications tailored to their needs.
> the resulting voice recognition datasets can be used to build AI voice applications such as advisory systems in local languages for farmers, citizens etc that ""understand"" speech input (instead of written input).  ","Powered by:   USIU - Africa in cooperation with Kabarak University and Maseno University, Kenya
Catalyzed by: Lacuna-Fund / Meridian & FAIR Forward - AI for All
Financed by: BMZ",Balthas Seibold,NLP,,Apache License 2.0,"https://arxiv.org/pdf/2501.11003, https://github.com/waleghwa/low-resource-language-data, https://commonvoice.mozilla.org/en/datasets ",Yes,,"Comment Balthas: original title is ""Building parallel corpora for Kenya’s Indigenous Languages and Swahili""

DONE on 25.8., Balthas"
ui_4,Helping to measure solar energy adoption across Madagascar via AI - Labelled Open solar panel data for Madagascar,,Madagascar,"This dataset will help data scientists, government and users to measure solar energy adoption across Madagascar. It laid the groundwork needed to develop a solar panel detection algorithm working in Madagaskar. Notably, this project represented all regions of the country; instead of focusing only on big cities, it also covered average and small villages as well as coasts and mountains.

The team annotated 2,125 Google Earth satellite images and 9,202 drone images, forming a combination of low and high-definition solar panel views in Madagascar. The Madagascar Initiatives for Digital Innovation (MAIDI) team performed field checks for up to 25% of satellite images and, in total, annotated 22,488 polygons.",https://openstat-madagascar.com/bdd/energie-et-environnement/131-donnees-sur-l-energie-solaire-et-labellisation-d-images-de-panneaux-photovoltaiques-a-madagascar,,SDG 13 (Climate Action),Dataset,,"Fabienne Rafidiharinirina (f.rafidiharinirina@association-maidi.mg), Association Maidi (assomaidi@gmail.com)",,,,"Powered by:  
Catalyzed by: Lacuna-Fund / Meridian & FAIR Forward - AI for All
Financed by: BMZ",,,,,,Yes,,
ui_5,"Detecting sentiments and combatting hate speech in Hausa, Igbo, Nigerian-Pidgin and Yorùbá - NaijaSenti: a Nigerian Corpus for Multilingual Sentiment Analysis",,Nigeria,"The NaijaSenti dataset is the first large-scale human-annotated Twitter sentiment dataset for Hausa, Igbo, Nigerian-Pidgin, and Yorùbá, the four most widely spoken languages in Nigeria. It consists of around 30,000 annotated tweets per language (except for Nigerian-Pidgin), including a significant fraction of code-mixed tweets. These datasets are useful not only for sentiment analysis but also for hate speech detection. The open-source package consists of datasets, trained models, sentiment lexicons, and code. With more than 200 million people and 522 native languages, Nigeria is the most populous and linguistically diverse country in Africa, as well as the third most multilingual country in the world. The majority of the population speaks either Hausa, Igbo, Yorùbá, or Nigerian-Pidgin.",https://github.com/hausanlp/NaijaSenti,https://github.com/hausanlp/NaijaSenti,SDG 10 (Reduced inequality through access to info in local languages/NLP),Dataset > Model,Text,NaijaSenti (https://github.com/hausanlp/NaijaSenti?tab=readme-ov-file#contact-us),"The project developed and made the following resources available:   1. Manually Annotated Twitter Sentiment Dataset 2. Manually Annotated Sentiment Lexicon 3. Semi-automatically Translated emotion lexicon 4. Semi-automatically Translated sentiment lexicon 5. Large Scale Unlabeled Twitter Sentiment Corpus 6. Stop-words for Hausa, Igbo, Pidgin and Yoruba     7. text  collection,  filtering, processing  and  labeling  methods  to  create  datasets  for  these  low-resource  languages.   8. evaluation og a  range of  pre-trained  models  and  transfer  strategies  on  the  dataset. 9. release  of datasets,  trained  models,  sentiment  lexicons,  and  code  to  incentivize research on sentiment analysis in under-represented languages. Authors: Shamsuddeen Hassan Muhammad, David Ifeoluwa Adelani, Sebastian Ruder, Ibrahim Said Ahmad, Idris Abdulmumin, Bello Shehu Bello, Monojit Choudhury, Chris Chinenye Emezue, Saheed Salahudeen Abdullahi, Anuoluwapo Aremu, Alipio Jeorge, and Pavel Brazdil",,"NaijaSenti can be used to advance sentiment analysis and other downstream NLP tasks in the languages involved and to work on hate speech detection. For such follow-up work on hate speech, see also: https://arxiv.org/abs/2501.08284 ","Powered by:  Bayero University, Kano, Nigeria, Ahmadu Bello University, Zaria, Nigeria, Masakhane NLP, HausaNLP, Kaduna state University 
Catalyzed by: Lacuna-Fund / Meridian &  FAIR Forward - AI for All
Financed by: BMZ",Balthas Seibold,NLP,NaijaSenti/image/naijasenti_logo1.png at main · hausanlp/NaijaSenti · GitHub,CC-BY 4.0,https://arxiv.org/pdf/2201.08277,Yes,,"DONE on 25.8., Balthas"
ui_6,"Enable Cashew, Cocoa and Coffee farmers to make good business decisions - Drone-based Agricultural Dataset for Crop Yield Estimation in Ghana and Uganda",,"Ghana,Uganda","This dataset supports yield estimation, crop type detection and classification, fruit detection and counting, and fruit maturity stage detection (unripe, ripe, and spoiled) for three products that are important sources of livelihood for millions of households in Sub-Saharan Africa.
 
 It contains 14,870 drone images with bounding box annotations of cashew, cocoa, and coffee trees collected across multiple farms in Ghana and Uganda. Conventional methods of yield estimation are expensive, require a lot of labor and time, and are prone to error due to incomplete ground observations. This results in poor crop yield estimations and hinders farmers’ ability to appropriately plan and manage their fields and production pipelines. This dataset will help transform African agriculture into agribusiness by allowing for the development of yield estimation solutions that enable farmers to make good business decisions. Having key details about agricultural production readily accessible enables a timely harvest, helping farmers ensure healthy, fresh produce and, in addition, better sales.",https://huggingface.co/datasets/KaraAgroAI/Drone-based-Agricultural-Dataset-for-Crop-Yield-Estimation,,"SDG 13 (Climate Action), SDG 2 (End hunger, achieve food security, sustainable agriculture)",Dataset,Images,"Darlington Akogo (darlington@gudra-studio.com), KaraAgro (https://www.karaagro.com/index.html)",,,,"Powered by:  Karaagro AI - Ghana, Makerere AI Lab, Uganda Marconi Lab, National Coffee Research Institute, National Crops Resources Research Institute
Catalyzed by: Lacuna-Fund / Meridian & FAIR Forward - AI for All
Financed by: BMZ",Elikplim Sabblah ,Computer Vision,,https://creativecommons.org/licenses/by/4.0/,,Yes,,
ui_7,"Preserving privacy and avoiding gender bias of AI systems in Luganda, Lumasaba, Hausa, and Kanuri - The Lacuna personally identifiable information Text Dataset",,"Uganda,Kenya,Nigeria","The Lacuna PII Multilingual Text Dataset  contains annotated sentences with personally identifiable information (PII) in Luganda, Lumasaba, Hausa, and Kanuri. These four languages span Central and Eastern Uganda, Nigeria, Ghana, and Northern Cameroon. The dataset can help to anonymize and pseudonymize personally identifiable information in AI tasks. This can help organizations comply with legal requirements while still being able to analyze and use and share their data effectively. It can also be used to improve machine translation systems for low-resource languages,  improve the performance of NLP applications in these languages, and support the extraction of specific information from text, such as automated form filling and information retrieval systems. It comprises 4000 Luganda sentences, 5000 Lumasaba sentences, 3000 Kanuri sentences, and 3000 Hausa sentences. The team aimed to curate a dataset that is gender inclusive. It was created by Makerere Artificial Intelligence Lab in collaboration with Marconi Lab and Clear Global.",https://dataverse.harvard.edu/citation?persistentId=doi:10.7910/DVN/CGHWZE,,"SDG 13 (Climate Action), SDG 10 (Reduced inequality through access to info in local languages/NLP), Achieve Gender Equality (SDG 5)",Dataset,Text,Andrew Katumba - Makerere University (katumba@mak.ac.ug),"Text data:
• Luganda: 4000 PII sentences with representation in entities of
Person, Date, National identity, tribal identity, location, and organization.
• Lumasaaba: 5000 PII sentences with representation in entities
of Person, Date, National identity, tribal identity, location, and
organization.
• Hausa: 3000 PII sentences with representation in entities of Person, Date, National identity, tribal identity, location, and organization.
• Kanuri: 3000 PII sentences with representation in entities of Person, Date, National identity, tribal identity, location, and organization

For more, see data card here: https://dataverse.harvard.edu/file.xhtml?fileId=10577233&version=2.0",,"This dataset of personally identifiable information (PII) can help any organization or initiative, that would like to comply with legal requirements while still being able to analyze and use and share data effectively in one of the languages in Luganda, Lumasaba, Hausa, and Kanuri. It can also be used to improve machine translation systems for these low-resource languages, improve the performance of NLP applications in these languages, and support the extraction of specific information from text, such as automated form filling and information retrieval systems. ","Powered by:  Makerere Artificial Intelligence Lab in collaboration with Marconi Lab and Clear Global
Catalyzed by: Lacuna-Fund / Meridian &  FAIR Forward - AI for All
Financed by: BMZ",Balthas Seibold,NLP,,,https://dataverse.harvard.edu/file.xhtml?fileId=10577234&version=2.0,Yes,,"First editing DONE on 25.8., Balthas"
ui_8,"Ecuadorian Dataset on Access, Demand, & Availability of Electricity Supply",Ecuador Electricity Access & Supply Data,Ecuador,,Not published,,,Dataset,,ESPOL University,,,,"Powered by:  ESPOL University
Catalyzed by: Lacuna-Fund / Meridian (Climate-call) &  FAIR Forward - AI for All
Financed by: BMZ",Luisa Olaya,,,,,Yes,,"First editing DONE on 28.8., Luisa - There´s no much information available"
ui_9,Powering Rural Futures in West Africa: AI-Driven Demand Data for Smarter Electrification,,"Benin,Ghana,Niger,Togo",,,,,,,Reiner Lemoine Institut gGmbH (RLI),,,,"Powered by:  Reiner Lemoine Institut gGmbH (RLI)
Catalyzed by: Lacuna-Fund / Meridian (Climate-call) &  FAIR Forward - AI for All
Financed by: BMZ",,,,,,Yes,,
